scenario_rocket,status,constellation,rocket,rocket_detailed,representative_of,rocket_type,no_of_satellites,no_of_launches,,Orbit,Modeled,Known-Generic,Unknown-generic,
scenario_rocket1,Historical,starlink,falcon9,falcon9,Modeled,hydrocarbon,4425,127,,LEO,147,85,4,236
scenario_rocket1,Historical,oneweb,soyuz,soyuz,Modeled,hydrocarbon,394,14,,GEO,-,-,19,19
scenario_rocket1,Historical,oneweb,falcon9,falcon9,Modeled,hydrocarbon,180,5,,,,,,
scenario_rocket1,Historical,oneweb,unknown_hyg,lvm3_hydrogen,Representative,hydrogen,72,2,,Orbit,Modeled,Known-Generic,Unknown-generic,
scenario_rocket1,scenario,kuiper,unknown_hyg,ariane_6_hydrogen,Representative,hydrogen,648,18,,LEO,62%,36%,2%,1
scenario_rocket1,scenario,kuiper,unknown_hyc,glenn_hydrocarbon,Representative,hydrocarbon,972,27,,GEO,-,-,100%,1
scenario_rocket1,scenario,kuiper,unknown_hyc,vulcan_hydrocarbon,Representative,hydrocarbon,1368,38,,,,,,
scenario_rocket1,scenario,kuiper,falcon9,falcon9,Representative,hydrocarbon,108,3,,,,,,
scenario_rocket1,scenario,kuiper,unknown_hyc,unknown_hydrocarbon,Representative,hydrocarbon,72,2,,,,,,
scenario_rocket1,scenario,kuiper,unknown_hyg,unknown_hydrogen,Representative,hydrogen,72,2,,,,,,
scenario_rocket1,scenario,geo_generic,unknown_hyc,unknown_hydrocarbon,Representative,hydrocarbon,10,10,,,,,,
scenario_rocket1,scenario,geo_generic,unknown_hyg,unknown_hydrogen,Representative,hydrogen,9,9,,,,,,
scenario_rocket2,scenario,starlink,unknown_hyg,unknown_hyg,Representative,hydrocarbon,4425,192,,,,,,
scenario_rocket2,scenario,oneweb,unknown_hyg,unknown_hyg,Representative,hydrocarbon,648,18,,,,,,
scenario_rocket2,scenario,kuiper,unknown_hyg,unknown_hyg,Representative,hydrocarbon,3236,90,,,,,,
scenario_rocket2,scenario,geo_generic,unknown_hyg,unknown_hyg,Representative,hydrocarbon,19,19,,,,,,
scenario_rocket3,scenario,starlink,unknown_hyc,unknown_hyc,Representative,hydrogen,4425,192,,,,,,
scenario_rocket3,scenario,oneweb,unknown_hyc,unknown_hyc,Representative,hydrogen,648,18,,,,,,
scenario_rocket3,scenario,kuiper,unknown_hyc,unknown_hyc,Representative,hydrogen,3236,90,,,,,,
scenario_rocket3,scenario,geo_generic,unknown_hyc,unknown_hyc,Representative,hydrogen,19,19,,,,,,