constellation,number_of_satellites,total_area_earth_km_sq,coverage_area_per_sat_sqkm,altitude_km,dl_frequency_Hz,dl_bandwidth_Hz,speed_of_light,antenna_diameter_m,antenna_efficiency,power_dBw,receiver_gain_dB,earth_atmospheric_losses_dB,all_other_losses_dB,number_of_channels,polarization,subscriber_scenario,subscribers
OneWeb,720,510000000,708333.3333,1195,13500000000,250000000,300000000,0.65,0.6,30,30,7,0.53,8,2,high,1000000
OneWeb,720,510000000,708333.3333,1195,13500000000,250000000,300000000,0.65,0.6,30,30,10,0.53,8,2,low,500000
OneWeb,720,510000000,708333.3333,1195,13500000000,250000000,300000000,0.65,0.6,30,30,10,0.53,8,2,baseline,800000
OneWeb,720,510000000,708333.3333,1195,13500000000,250000000,300000000,0.65,0.6,30,30,10,0.53,8,2,high,1000000
OneWeb,720,510000000,708333.3333,1195,13500000000,250000000,300000000,0.65,0.6,30,30,13,0.53,8,2,low,500000
OneWeb,720,510000000,708333.3333,1195,13500000000,250000000,300000000,0.65,0.6,30,30,13,0.53,8,2,baseline,800000
OneWeb,720,510000000,708333.3333,1195,13500000000,250000000,300000000,0.65,0.6,30,30,13,0.53,8,2,high,1000000
OneWeb,720,510000000,708333.3333,1195,13500000000,250000000,300000000,0.65,0.6,30,35,7,0.53,8,2,low,500000
OneWeb,720,510000000,708333.3333,1195,13500000000,250000000,300000000,0.65,0.6,30,35,7,0.53,8,2,baseline,800000
OneWeb,720,510000000,708333.3333,1195,13500000000,250000000,300000000,0.65,0.6,30,35,7,0.53,8,2,high,1000000
OneWeb,720,510000000,708333.3333,1195,13500000000,250000000,300000000,0.65,0.6,30,35,10,0.53,8,2,low,500000
OneWeb,720,510000000,708333.3333,1195,13500000000,250000000,300000000,0.65,0.6,30,35,10,0.53,8,2,baseline,800000
OneWeb,720,510000000,708333.3333,1195,13500000000,250000000,300000000,0.65,0.6,30,35,10,0.53,8,2,high,1000000
OneWeb,720,510000000,708333.3333,1195,13500000000,250000000,300000000,0.65,0.6,30,35,13,0.53,8,2,low,500000
OneWeb,720,510000000,708333.3333,1195,13500000000,250000000,300000000,0.65,0.6,30,35,13,0.53,8,2,baseline,800000
OneWeb,720,510000000,708333.3333,1195,13500000000,250000000,300000000,0.65,0.6,30,35,13,0.53,8,2,high,1000000
OneWeb,720,510000000,708333.3333,1200,13500000000,250000000,300000000,0.65,0.6,30,25,7,0.53,8,2,low,500000
OneWeb,720,510000000,708333.3333,1200,13500000000,250000000,300000000,0.65,0.6,30,25,7,0.53,8,2,baseline,800000
OneWeb,720,510000000,708333.3333,1200,13500000000,250000000,300000000,0.65,0.6,30,25,7,0.53,8,2,high,1000000
OneWeb,720,510000000,708333.3333,1200,13500000000,250000000,300000000,0.65,0.6,30,25,10,0.53,8,2,low,500000
OneWeb,720,510000000,708333.3333,1200,13500000000,250000000,300000000,0.65,0.6,30,25,10,0.53,8,2,baseline,800000
OneWeb,720,510000000,708333.3333,1200,13500000000,250000000,300000000,0.65,0.6,30,25,10,0.53,8,2,high,1000000
OneWeb,720,510000000,708333.3333,1200,13500000000,250000000,300000000,0.65,0.6,30,25,13,0.53,8,2,low,500000
OneWeb,720,510000000,708333.3333,1200,13500000000,250000000,300000000,0.65,0.6,30,25,13,0.53,8,2,baseline,800000
OneWeb,720,510000000,708333.3333,1200,13500000000,250000000,300000000,0.65,0.6,30,25,13,0.53,8,2,high,1000000
OneWeb,720,510000000,708333.3333,1200,13500000000,250000000,300000000,0.65,0.6,30,30,7,0.53,8,2,low,500000
OneWeb,720,510000000,708333.3333,1200,13500000000,250000000,300000000,0.65,0.6,30,30,7,0.53,8,2,baseline,800000
OneWeb,720,510000000,708333.3333,1200,13500000000,250000000,300000000,0.65,0.6,30,30,7,0.53,8,2,high,1000000
OneWeb,720,510000000,708333.3333,1200,13500000000,250000000,300000000,0.65,0.6,30,30,10,0.53,8,2,low,500000
OneWeb,720,510000000,708333.3333,1200,13500000000,250000000,300000000,0.65,0.6,30,30,10,0.53,8,2,baseline,800000
OneWeb,720,510000000,708333.3333,1200,13500000000,250000000,300000000,0.65,0.6,30,30,10,0.53,8,2,high,1000000
OneWeb,720,510000000,708333.3333,1200,13500000000,250000000,300000000,0.65,0.6,30,30,13,0.53,8,2,low,500000
OneWeb,720,510000000,708333.3333,1200,13500000000,250000000,300000000,0.65,0.6,30,30,13,0.53,8,2,baseline,800000
OneWeb,720,510000000,708333.3333,1200,13500000000,250000000,300000000,0.65,0.6,30,30,13,0.53,8,2,high,1000000
OneWeb,720,510000000,708333.3333,1200,13500000000,250000000,300000000,0.65,0.6,30,35,7,0.53,8,2,low,500000
OneWeb,720,510000000,708333.3333,1200,13500000000,250000000,300000000,0.65,0.6,30,35,7,0.53,8,2,baseline,800000
OneWeb,720,510000000,708333.3333,1200,13500000000,250000000,300000000,0.65,0.6,30,35,7,0.53,8,2,high,1000000
OneWeb,720,510000000,708333.3333,1200,13500000000,250000000,300000000,0.65,0.6,30,35,10,0.53,8,2,low,500000
OneWeb,720,510000000,708333.3333,1200,13500000000,250000000,300000000,0.65,0.6,30,35,10,0.53,8,2,baseline,800000
OneWeb,720,510000000,708333.3333,1200,13500000000,250000000,300000000,0.65,0.6,30,35,10,0.53,8,2,high,1000000
OneWeb,720,510000000,708333.3333,1200,13500000000,250000000,300000000,0.65,0.6,30,35,13,0.53,8,2,low,500000
OneWeb,720,510000000,708333.3333,1200,13500000000,250000000,300000000,0.65,0.6,30,35,13,0.53,8,2,baseline,800000
OneWeb,720,510000000,708333.3333,1200,13500000000,250000000,300000000,0.65,0.6,30,35,13,0.53,8,2,high,1000000
Kuiper,3236,510000000,157601.9778,600,17700000000,250000000,300000000,0.9,0.6,30,26,7,0.53,8,2,low,1500000
Kuiper,3236,510000000,157601.9778,600,17700000000,250000000,300000000,0.9,0.6,30,26,7,0.53,8,2,baseline,2500000
Kuiper,3236,510000000,157601.9778,600,17700000000,250000000,300000000,0.9,0.6,30,26,7,0.53,8,2,high,3500000
Kuiper,3236,510000000,157601.9778,600,17700000000,250000000,300000000,0.9,0.6,30,26,10,0.53,8,2,low,1500000
Kuiper,3236,510000000,157601.9778,600,17700000000,250000000,300000000,0.9,0.6,30,26,10,0.53,8,2,baseline,2500000
Kuiper,3236,510000000,157601.9778,600,17700000000,250000000,300000000,0.9,0.6,30,26,10,0.53,8,2,high,3500000
Kuiper,3236,510000000,157601.9778,600,17700000000,250000000,300000000,0.9,0.6,30,26,13,0.53,8,2,low,1500000
Kuiper,3236,510000000,157601.9778,600,17700000000,250000000,300000000,0.9,0.6,30,26,13,0.53,8,2,baseline,2500000
Kuiper,3236,510000000,157601.9778,600,17700000000,250000000,300000000,0.9,0.6,30,26,13,0.53,8,2,high,3500000
Kuiper,3236,510000000,157601.9778,600,17700000000,250000000,300000000,0.9,0.6,30,31,7,0.53,8,2,low,1500000
Kuiper,3236,510000000,157601.9778,600,17700000000,250000000,300000000,0.9,0.6,30,31,7,0.53,8,2,baseline,2500000
Kuiper,3236,510000000,157601.9778,600,17700000000,250000000,300000000,0.9,0.6,30,31,7,0.53,8,2,high,3500000
Kuiper,3236,510000000,157601.9778,600,17700000000,250000000,300000000,0.9,0.6,30,31,10,0.53,8,2,low,1500000
Kuiper,3236,510000000,157601.9778,600,17700000000,250000000,300000000,0.9,0.6,30,31,10,0.53,8,2,baseline,2500000
Kuiper,3236,510000000,157601.9778,600,17700000000,250000000,300000000,0.9,0.6,30,31,10,0.53,8,2,high,3500000
Kuiper,3236,510000000,157601.9778,600,17700000000,250000000,300000000,0.9,0.6,30,31,13,0.53,8,2,low,1500000
Kuiper,3236,510000000,157601.9778,600,17700000000,250000000,300000000,0.9,0.6,30,31,13,0.53,8,2,baseline,2500000
Kuiper,3236,510000000,157601.9778,600,17700000000,250000000,300000000,0.9,0.6,30,31,13,0.53,8,2,high,3500000
Kuiper,3236,510000000,157601.9778,600,17700000000,250000000,300000000,0.9,0.6,30,36,7,0.53,8,2,low,1500000
Kuiper,3236,510000000,157601.9778,600,17700000000,250000000,300000000,0.9,0.6,30,36,7,0.53,8,2,baseline,2500000
Kuiper,3236,510000000,157601.9778,600,17700000000,250000000,300000000,0.9,0.6,30,36,7,0.53,8,2,high,3500000
Kuiper,3236,510000000,157601.9778,600,17700000000,250000000,300000000,0.9,0.6,30,36,10,0.53,8,2,low,1500000
Kuiper,3236,510000000,157601.9778,600,17700000000,250000000,300000000,0.9,0.6,30,36,10,0.53,8,2,baseline,2500000
Kuiper,3236,510000000,157601.9778,600,17700000000,250000000,300000000,0.9,0.6,30,36,10,0.53,8,2,high,3500000
Kuiper,3236,510000000,157601.9778,600,17700000000,250000000,300000000,0.9,0.6,30,36,13,0.53,8,2,low,1500000
Kuiper,3236,510000000,157601.9778,600,17700000000,250000000,300000000,0.9,0.6,30,36,13,0.53,8,2,baseline,2500000
Kuiper,3236,510000000,157601.9778,600,17700000000,250000000,300000000,0.9,0.6,30,36,13,0.53,8,2,high,3500000
Kuiper,3236,510000000,157601.9778,605,17700000000,250000000,300000000,0.9,0.6,30,26,7,0.53,8,2,low,1500000
Kuiper,3236,510000000,157601.9778,605,17700000000,250000000,300000000,0.9,0.6,30,26,7,0.53,8,2,baseline,2500000
Kuiper,3236,510000000,157601.9778,605,17700000000,250000000,300000000,0.9,0.6,30,26,7,0.53,8,2,high,3500000
Kuiper,3236,510000000,157601.9778,605,17700000000,250000000,300000000,0.9,0.6,30,26,10,0.53,8,2,low,1500000
Kuiper,3236,510000000,157601.9778,605,17700000000,250000000,300000000,0.9,0.6,30,26,10,0.53,8,2,baseline,2500000
Kuiper,3236,510000000,157601.9778,605,17700000000,250000000,300000000,0.9,0.6,30,26,10,0.53,8,2,high,3500000
Kuiper,3236,510000000,157601.9778,605,17700000000,250000000,300000000,0.9,0.6,30,26,13,0.53,8,2,low,1500000
Kuiper,3236,510000000,157601.9778,605,17700000000,250000000,300000000,0.9,0.6,30,26,13,0.53,8,2,baseline,2500000
Kuiper,3236,510000000,157601.9778,605,17700000000,250000000,300000000,0.9,0.6,30,26,13,0.53,8,2,high,3500000
Kuiper,3236,510000000,157601.9778,605,17700000000,250000000,300000000,0.9,0.6,30,31,7,0.53,8,2,low,1500000
Kuiper,3236,510000000,157601.9778,605,17700000000,250000000,300000000,0.9,0.6,30,31,7,0.53,8,2,baseline,2500000
Kuiper,3236,510000000,157601.9778,605,17700000000,250000000,300000000,0.9,0.6,30,31,7,0.53,8,2,high,3500000
Kuiper,3236,510000000,157601.9778,605,17700000000,250000000,300000000,0.9,0.6,30,31,10,0.53,8,2,low,1500000
Kuiper,3236,510000000,157601.9778,605,17700000000,250000000,300000000,0.9,0.6,30,31,10,0.53,8,2,baseline,2500000
Kuiper,3236,510000000,157601.9778,605,17700000000,250000000,300000000,0.9,0.6,30,31,10,0.53,8,2,high,3500000
Kuiper,3236,510000000,157601.9778,605,17700000000,250000000,300000000,0.9,0.6,30,31,13,0.53,8,2,low,1500000
Kuiper,3236,510000000,157601.9778,605,17700000000,250000000,300000000,0.9,0.6,30,31,13,0.53,8,2,baseline,2500000
Kuiper,3236,510000000,157601.9778,605,17700000000,250000000,300000000,0.9,0.6,30,31,13,0.53,8,2,high,3500000
Kuiper,3236,510000000,157601.9778,605,17700000000,250000000,300000000,0.9,0.6,30,36,7,0.53,8,2,low,1500000
Kuiper,3236,510000000,157601.9778,605,17700000000,250000000,300000000,0.9,0.6,30,36,7,0.53,8,2,baseline,2500000
Kuiper,3236,510000000,157601.9778,605,17700000000,250000000,300000000,0.9,0.6,30,36,7,0.53,8,2,high,3500000
Kuiper,3236,510000000,157601.9778,605,17700000000,250000000,300000000,0.9,0.6,30,36,10,0.53,8,2,low,1500000
Kuiper,3236,510000000,157601.9778,605,17700000000,250000000,300000000,0.9,0.6,30,36,10,0.53,8,2,baseline,2500000
Kuiper,3236,510000000,157601.9778,605,17700000000,250000000,300000000,0.9,0.6,30,36,10,0.53,8,2,high,3500000
Kuiper,3236,510000000,157601.9778,605,17700000000,250000000,300000000,0.9,0.6,30,36,13,0.53,8,2,low,1500000
Kuiper,3236,510000000,157601.9778,605,17700000000,250000000,300000000,0.9,0.6,30,36,13,0.53,8,2,baseline,2500000
Kuiper,3236,510000000,157601.9778,605,17700000000,250000000,300000000,0.9,0.6,30,36,13,0.53,8,2,high,3500000
Kuiper,3236,510000000,157601.9778,610,17700000000,250000000,300000000,0.9,0.6,30,26,7,0.53,8,2,low,1500000
Kuiper,3236,510000000,157601.9778,610,17700000000,250000000,300000000,0.9,0.6,30,26,7,0.53,8,2,baseline,2500000
Kuiper,3236,510000000,157601.9778,610,17700000000,250000000,300000000,0.9,0.6,30,26,7,0.53,8,2,high,3500000
Kuiper,3236,510000000,157601.9778,610,17700000000,250000000,300000000,0.9,0.6,30,26,10,0.53,8,2,low,1500000
Kuiper,3236,510000000,157601.9778,610,17700000000,250000000,300000000,0.9,0.6,30,26,10,0.53,8,2,baseline,2500000
Kuiper,3236,510000000,157601.9778,610,17700000000,250000000,300000000,0.9,0.6,30,26,10,0.53,8,2,high,3500000
Kuiper,3236,510000000,157601.9778,610,17700000000,250000000,300000000,0.9,0.6,30,26,13,0.53,8,2,low,1500000
Kuiper,3236,510000000,157601.9778,610,17700000000,250000000,300000000,0.9,0.6,30,26,13,0.53,8,2,baseline,2500000
Kuiper,3236,510000000,157601.9778,610,17700000000,250000000,300000000,0.9,0.6,30,26,13,0.53,8,2,high,3500000
Kuiper,3236,510000000,157601.9778,610,17700000000,250000000,300000000,0.9,0.6,30,31,7,0.53,8,2,low,1500000
Kuiper,3236,510000000,157601.9778,610,17700000000,250000000,300000000,0.9,0.6,30,31,7,0.53,8,2,baseline,2500000
Kuiper,3236,510000000,157601.9778,610,17700000000,250000000,300000000,0.9,0.6,30,31,7,0.53,8,2,high,3500000
Kuiper,3236,510000000,157601.9778,610,17700000000,250000000,300000000,0.9,0.6,30,31,10,0.53,8,2,low,1500000
Kuiper,3236,510000000,157601.9778,610,17700000000,250000000,300000000,0.9,0.6,30,31,10,0.53,8,2,baseline,2500000
Kuiper,3236,510000000,157601.9778,610,17700000000,250000000,300000000,0.9,0.6,30,31,10,0.53,8,2,high,3500000
Kuiper,3236,510000000,157601.9778,610,17700000000,250000000,300000000,0.9,0.6,30,31,13,0.53,8,2,low,1500000
Kuiper,3236,510000000,157601.9778,610,17700000000,250000000,300000000,0.9,0.6,30,31,13,0.53,8,2,baseline,2500000
Kuiper,3236,510000000,157601.9778,610,17700000000,250000000,300000000,0.9,0.6,30,31,13,0.53,8,2,high,3500000
Kuiper,3236,510000000,157601.9778,610,17700000000,250000000,300000000,0.9,0.6,30,36,7,0.53,8,2,low,1500000
Kuiper,3236,510000000,157601.9778,610,17700000000,250000000,300000000,0.9,0.6,30,36,7,0.53,8,2,baseline,2500000
Kuiper,3236,510000000,157601.9778,610,17700000000,250000000,300000000,0.9,0.6,30,36,7,0.53,8,2,high,3500000
Kuiper,3236,510000000,157601.9778,610,17700000000,250000000,300000000,0.9,0.6,30,36,10,0.53,8,2,low,1500000
Kuiper,3236,510000000,157601.9778,610,17700000000,250000000,300000000,0.9,0.6,30,36,10,0.53,8,2,baseline,2500000
Kuiper,3236,510000000,157601.9778,610,17700000000,250000000,300000000,0.9,0.6,30,36,10,0.53,8,2,high,3500000
Kuiper,3236,510000000,157601.9778,610,17700000000,250000000,300000000,0.9,0.6,30,36,13,0.53,8,2,low,1500000
Kuiper,3236,510000000,157601.9778,610,17700000000,250000000,300000000,0.9,0.6,30,36,13,0.53,8,2,baseline,2500000
Kuiper,3236,510000000,157601.9778,610,17700000000,250000000,300000000,0.9,0.6,30,36,13,0.53,8,2,high,3500000
